year,km driven,fuel type,seller type,transmission,owner,seats,max_power (in bph),Mileage,Engine (CC),selling price
2015,30000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,511000
2013,120000,Diesel,Individual,Manual,1,5,84.8,21.64,1461,434999
2010,100000,Diesel,Individual,Manual,2,5,68,20,1399,210000
2017,50000,Petrol,Individual,Manual,1,5,67,23.01,999,290000
2006,40000,Petrol,Individual,Manual,1,5,46.3,19.7,796,100000
2014,89100,Diesel,Individual,Manual,2,5,73.94,23.2,1248,351000
2015,120000,Petrol,Individual,Manual,2,5,55.2,21.1,814,225000
2011,50000,Petrol,Individual,Manual,3,5,67.1,20.92,998,140000
2015,126000,Diesel,Individual,Manual,1,5,88.73,21.19,1396,500000
2019,15000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,570000
2009,120000,Petrol,Individual,Manual,1,5,46.3,19.7,796,120000
2011,210000,Diesel,Individual,Manual,1,5,74,22.9,1248,280000
2009,85000,Diesel,Individual,Manual,3,5,73.9,21.1,1248,180000
2009,40000,Diesel,Individual,Manual,1,5,90,23,1396,340000
2017,65000,Petrol,Individual,Manual,2,5,67.04,20.51,998,400000
2005,70000,Petrol,Individual,Manual,3,5,46.3,19.7,796,95000
2017,65000,Diesel,Individual,Manual,1,8,108.5,19.98,1461,880000
2019,25000,Petrol,Individual,Manual,1,5,81.8,20.52,1197,480000
2016,72113,Diesel,Individual,Manual,1,7,98.6,21.9,1498,850000
2012,40000,Diesel,Individual,Manual,1,5,70,23.57,1396,300000
2010,20000,Petrol,Individual,Manual,1,5,85.8,21.1,1197,220000
2014,80000,Diesel,Individual,Manual,1,5,74,23.4,1248,450000
2018,30000,Diesel,Individual,Manual,1,5,88.76,21.19,1396,800000
2011,69000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,375000
2004,113000,Petrol,Individual,Manual,2,5,46.3,19.7,796,60000
2012,100000,Diesel,Individual,Manual,3,5,63.12,23.08,1461,300000
2012,110000,Diesel,Individual,Manual,1,5,74,22.3,1248,150000
2015,90000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,600000
2011,100000,Diesel,Individual,Manual,2,5,68,20,1399,204999
2019,10000,Petrol,Individual,Automatic,1,5,81.8,21.21,1197,610000
2014,110000,Diesel,Individual,Manual,1,5,74,23.4,1248,509999
2014,100000,Diesel,Individual,Manual,1,5,74,23.4,1248,511000
2014,91000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,451000
2009,100000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,170000
2013,120000,Diesel,Individual,Manual,2,5,74,23.4,1248,450000
2016,60000,Petrol,Individual,Manual,2,5,47.3,22.74,796,305000
2016,60000,Diesel,Individual,Manual,2,5,74,22.1,1248,250000
2012,104500,Diesel,Individual,Manual,2,5,68,20,1399,200000
2014,100000,Diesel,Individual,Manual,2,5,74,22.9,1248,509999
2014,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,235000
2019,10000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,585000
2018,10000,Diesel,Individual,Manual,1,8,45,23.5,909,500000
2013,70000,Diesel,Individual,Manual,3,5,88.76,21.9,1396,325000
2011,120000,Diesel,Individual,Manual,3,5,103.6,20.54,1598,260000
2009,80000,Petrol,Individual,Manual,3,5,46.3,19.7,796,130000
2014,53000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,275000
2013,100000,Diesel,Individual,Manual,3,5,103.6,20.54,1598,330000
2012,98000,Diesel,Individual,Manual,4,7,88.8,20.77,1248,450000
2014,60000,Petrol,Individual,Manual,1,5,55.2,21.1,814,250000
2010,80000,Petrol,Individual,Manual,3,5,78.9,20.36,1197,165000
2017,19723,Petrol,Dealer,Automatic,1,5,84,20.3,1199,525000
2017,25471,Diesel,Dealer,Manual,1,5,90,21.9,1396,675000
2016,74381,Petrol,Dealer,Manual,1,5,67.05,21.79,998,400000
2017,63982,Diesel,Dealer,Manual,1,5,89.84,22.7,1498,850000
2012,56000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,270000
2019,19500,Petrol,Dealer,Manual,1,5,68.07,20.3,1086,434999
2016,53000,Diesel,Dealer,Manual,1,5,88.73,22.54,1396,575000
2017,5000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,600000
2013,52380,Diesel,Dealer,Manual,1,5,67.04,23.59,1364,270000
2018,74250,Diesel,Dealer,Manual,1,7,74.96,21,1498,660000
2017,57247,Petrol,Dealer,Automatic,1,5,81.8,20.89,1197,490000
2010,120000,Petrol,Individual,Manual,3,5,46.3,19.7,796,125000
2015,30000,Petrol,Individual,Manual,1,5,67.04,20.51,998,335000
2012,70000,Diesel,Individual,Manual,4,5,73.9,22.07,1199,229999
2017,40000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,731000
2012,120000,Diesel,Individual,Manual,1,5,126.32,22.32,1582,395000
2014,50000,Petrol,Individual,Manual,3,5,55.2,21.1,814,220000
2013,100000,Diesel,Individual,Manual,1,5,68.1,20,1399,240000
2010,120000,Diesel,Individual,Manual,3,5,90,23,1396,215000
2012,90000,Diesel,Individual,Manual,2,5,74,22.9,1248,400000
2015,20000,Petrol,Individual,Automatic,1,4,37.48,21.9,624,250000
2019,10000,Diesel,Individual,Manual,1,5,88.76,22.54,1396,850000
2012,90000,Petrol,Individual,Manual,1,5,67.1,20.92,998,250000
2016,42323,Diesel,Dealer,Manual,1,5,88.76,21.19,1396,651000
2018,20375,Petrol,Dealer,Manual,1,5,81.8,20.89,1197,480000
2015,40200,Diesel,Dealer,Manual,1,7,74.96,21,1498,445000
2014,90000,Diesel,Individual,Manual,1,7,88.8,20.77,1248,560000
2013,48000,Diesel,Dealer,Manual,2,5,98.96,21.7,1498,475000
2017,28832,Diesel,Dealer,Manual,1,5,74,23.4,1248,520000
